#Data

#Initial x Position of body N, Initial y Position of body N, Initial z Position of body N,Initial x velocity of body N, Initial y velocity of body N, Initial z velocity of body N,, Mass Ratio for M_Sun / Body N
#Sun
 -7.139147132286038E-03, -2.792019830280757E-03,  2.061825715444439E-04,  5.374261407019511E-06, -7.410966744915032E-06, -9.422889366172143E-08, 1
#Mercury
-1.478672244638272E-01, -4.466929789292386E-01, -2.313937957609384E-02,  2.117424560897132E-02, -7.105386129334715E-03, -2.522925839071367E-03,6023600
#Venus
-7.257693636180024E-01, -2.529582241027935E-02,  4.137802926360784E-02,  5.189070603710855E-04, -2.031355259140432E-02, -3.072686213955652E-04, 408523.71
#Earth
-1.756895992827094E-01,  9.659716383076408E-01,  2.050240276128469E-04, -1.722463621150023E-02, -3.020684839068507E-03, -7.003389133678563E-08, 328900.56
#Mars
1.383221919016160E+00, -2.380173798221198E-02, -3.441183423403736E-02,  7.533013371827453E-04,  1.517888772321322E-02,  2.996588795985249E-04, 3098708
#Jupiter
3.996321061854482E+00,  2.932561395077597E+00, -1.016168538891713E-01, -4.558376951270891E-03,  6.439863037190386E-03,  7.537602020981289E-05,1047.3486
#Saturn
6.401419358016128E+00,  6.565251044149031E+00, -3.689193114780021E-01, -4.285164691031420E-03,  3.884579027399763E-03,  1.025160070027559E-04,3497.898
#Uranus
1.442338139077396E+01, -1.373844068506993E+01, -2.379183646594716E-01,  2.683858202912563E-03,  2.665014303463342E-03, -2.484074428686341E-05, 22902.98
#Neptune
1.680362759335924E+01, -2.499545058407568E+01,  1.274830225150769E-01,  2.584591139476231E-03,  1.768941466361779E-03, -9.629321017268494E-05,19412.24
#Pluto
-9.883997403158554E+00, -2.796079709157872E+01,  5.851015763341566E+00,  3.041348968174605E-03, -1.539624238595452E-03, -7.156810248518975E-04, 1.35E-9
